NumWords,NumLinks,NumSpecialChars,NumUppercaseWords,IsSpam
392,8,19,16,1
226,3,10,23,1
489,4,9,2,1
411,3,39,31,1
235,4,37,34,1
241,6,5,37,1
147,8,7,12,1
175,6,22,46,1
33,4,46,24,1
40,9,25,8,1
17,9,45,3,1
164,6,42,13,1
331,9,11,36,1
191,4,25,33,1
247,2,12,10,1
90,6,39,40,1
288,1,17,2,1
70,8,24,27,1
174,9,32,28,1
49,9,46,8,1
66,0,39,2,1
445,5,42,24,1
138,6,11,33,1
288,7,43,11,1
32,9,35,41,1
112,8,47,8,1
48,1,3,14,1
344,9,4,39,1
290,1,36,24,1
450,4,7,4,1
335,4,41,10,1
132,5,48,33,1
352,2,27,23,1
477,7,30,14,1
235,0,8,37,1
194,5,28,7,1
229,3,13,4,1
389,0,39,47,1
381,6,40,25,1
287,8,21,17,1
450,3,10,5,1
125,3,22,36,1
120,5,0,47,1
465,2,45,12,1
237,5,36,27,1
263,6,20,4,1
363,9,25,12,1
202,9,45,16,1
460,2,35,49,1
415,6,22,39,1
141,2,0,44,1
322,1,39,31,1
169,9,14,28,1
229,3,20,2,1
311,7,46,39,1
238,8,8,33,1
176,6,8,39,1
156,0,9,26,1
467,2,25,12,1
319,8,40,44,1
378,0,34,32,1
164,8,24,5,1
100,7,25,23,1
476,0,10,18,1
237,5,37,15,1
184,4,1,39,1
117,5,6,27,1
322,9,17,32,1
446,4,26,47,1
56,5,33,40,1
272,4,26,12,1
299,4,16,42,1
390,3,42,44,1
391,2,43,24,1
117,2,23,41,1
105,3,24,35,1
117,8,6,26,1
444,1,5,37,1
85,8,23,6,1
191,0,32,4,1
117,0,48,42,1
6,4,28,44,1
134,5,42,30,1
224,5,21,22,1
58,2,25,41,1
347,6,27,9,1
489,8,49,31,1
228,9,20,42,1
229,7,48,29,1
389,5,6,38,1
407,7,16,30,1
130,4,19,17,1
134,7,40,35,1
57,9,48,1,1
176,3,19,13,1
222,9,21,12,1
164,7,27,28,1
202,9,39,11,1
420,1,48,38,1
251,4,6,1,1
328,8,0,31,1
443,3,31,12,1
207,5,12,45,1
188,0,29,26,1
127,8,22,48,1
405,0,18,40,1
259,4,31,16,1
298,3,29,39,1
284,2,28,30,1
329,5,48,33,1
376,1,44,23,1
102,2,28,44,1
202,4,29,34,1
474,8,15,47,1
399,1,39,5,1
244,9,18,18,1
148,7,17,29,1
101,1,0,6,0
205,4,13,9,1
128,6,46,40,1
191,7,49,31,1
330,0,1,33,1
468,5,27,27,1
353,0,48,14,1
263,1,49,29,1
152,0,29,36,1
256,4,37,28,1
447,9,3,21,1
424,8,0,3,1
407,5,7,19,1
350,0,28,31,1
455,0,38,35,1
151,1,2,49,1
152,8,31,3,1
356,2,9,26,1
203,0,9,16,1
312,4,18,11,1
493,6,45,21,1
421,5,33,16,1
428,0,32,9,1
132,4,22,0,1
43,4,27,21,1
342,5,31,25,1
364,2,49,17,1
133,4,6,49,1
271,6,28,13,1
480,4,7,46,1
445,4,0,28,1
477,4,2,11,1
438,9,23,35,1
155,9,22,34,1
419,2,7,11,1
482,0,46,6,1
302,4,36,28,1
103,8,2,10,1
267,0,32,32,1
256,2,27,5,1
148,3,46,46,1
350,0,7,14,1
116,0,33,31,1
64,7,34,10,1
373,1,31,22,1
6,7,23,25,1
389,6,13,33,1
308,9,31,45,1
258,9,45,33,1
144,1,42,28,1
457,5,15,3,1
41,5,3,16,1
164,2,36,34,1
13,1,20,12,1
237,0,13,40,1
103,5,30,38,1
151,4,47,14,1
308,8,17,28,1
212,0,6,28,1
135,6,9,10,1
408,4,6,31,1
156,4,32,1,1
58,1,22,46,1
124,2,20,13,1
165,6,18,19,1
412,5,47,21,1
120,1,18,10,1
79,5,35,26,1
117,1,28,2,1
460,1,17,16,1
424,1,1,43,1
426,2,0,27,1
108,1,46,28,1
344,3,4,20,1
258,8,19,46,1
231,5,10,15,1
116,0,41,36,1
477,7,1,19,1
103,6,2,5,1
157,9,22,18,1
353,2,11,4,1
406,0,19,2,1
388,4,4,0,1
370,3,36,37,1
342,9,37,14,1
198,7,29,33,1
314,0,8,34,1
167,9,33,48,1
212,0,43,24,1
449,3,34,23,1
173,7,21,11,1
488,4,43,17,1
165,1,23,14,1
72,5,16,43,1
293,4,9,15,1
402,1,29,26,1
281,2,45,7,1
308,8,22,45,1
408,6,31,24,1
388,6,16,16,1
396,5,49,28,1
139,7,16,7,1
199,3,13,14,1
405,7,8,26,1
132,3,39,45,1
37,7,1,49,1
180,8,44,6,1
464,2,24,2,1
447,2,38,28,1
375,1,8,43,1
474,9,21,23,1
379,2,42,2,1
26,2,45,19,1
242,4,3,45,1
162,4,25,14,1
42,1,28,24,1
234,9,44,29,1
369,5,33,13,1
55,4,22,6,1
442,5,36,16,1
268,0,10,43,1
287,4,5,19,1
31,8,17,35,1
230,9,20,8,1
281,1,41,37,1
290,0,35,47,1
101,9,40,21,1
288,8,37,1,1
371,9,33,23,1
452,8,16,7,1
485,8,36,10,1
457,5,24,12,1
321,7,37,16,1
308,0,11,7,1
151,9,22,20,1
8,3,41,17,1
39,0,21,29,1
196,7,20,17,1
53,0,26,45,1
21,2,30,46,1
176,3,5,30,1
224,7,26,37,1
162,5,39,31,1
481,9,33,10,1
50,6,11,44,1
377,7,44,24,1
10,1,6,32,1
103,9,9,37,1
384,7,44,40,1
237,2,16,7,1
41,6,25,10,1
284,2,20,21,1
353,6,27,23,1
306,1,45,40,1
185,9,1,16,1
99,5,42,11,1
103,2,0,45,1
192,2,35,31,1
485,8,25,14,1
120,6,28,15,1
195,4,20,21,1
257,9,10,27,1
473,6,39,19,1
420,8,10,32,1
475,0,35,9,1
165,6,48,39,1
260,5,38,31,1
327,9,39,49,1
132,8,34,32,1
22,0,33,1,1
285,3,46,32,1
494,8,23,32,1
227,3,21,40,1
58,9,4,12,1
62,2,32,29,1
327,8,35,32,1
364,1,46,12,1
178,3,19,25,1
284,5,18,21,1
118,1,34,38,1
292,7,42,1,1
435,7,16,37,1
346,0,44,38,1
155,2,42,25,1
454,9,33,45,1
131,8,8,49,1
159,4,25,14,1
494,5,1,33,1
